Tipo de Registro	Fecha Inicial de Factura	Fecha Fin de Factura	Id Cliente	Id PDV	Id Sucursal	descripción Sucursal	Id transacción	Numero de Remito	Fecha de la transacción	Tipo de Operación	Código Fiscal de la Operación	Nro de linea	Id Producto	Nro de Lote	Fecha Validez Lote	Cantidad	Unidad de Medida de Venta	Valor Neto Total de la linea	Moneda	Código del Vendedor	Nombre del Vendedor
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722591	001400067717	2021-11-01	VTA	O	1	11080	1		1	UNI	      2450.830000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722591	001400067717	2021-11-01	VTA	O	1	11081	1		1	UNI	      2905.790000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722526	000101386151	2021-11-01	VTA	O	1	11097	1		1	UNI	       326.450000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722536	000101386154	2021-11-01	VTA	O	1	11097	1		1	UNI	       326.450000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722565	001400067707	2021-11-01	VTA	O	1	13374	1		1	UNI	       259.510000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722612	001400067727	2021-11-01	VTA	O	1	13374	1		1	UNI	       259.510000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722399	001400067688	2021-11-01	VTA	O	1	13387	1		1	UNI	       266.530000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722373	001400067686	2021-11-01	VTA	O	1	13387	1		4	UNI	      1066.120000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722565	001400067707	2021-11-01	VTA	O	1	13387	1		4	UNI	      1066.120000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722526	000101386151	2021-11-01	VTA	O	1	13387	1		5	UNI	      1332.650000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722453	000101386137	2021-11-01	VTA	O	1	18234	1		1	UNI	       392.150000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722536	000101386154	2021-11-01	VTA	O	1	18234	1		1	UNI	       392.150000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722570	001400067710	2021-11-01	VTA	O	1	18234	1		1	UNI	       392.150000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722545	000101386157	2021-11-01	VTA	O	1	18234	1		3	UNI	      1176.450000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722420	001400067694	2021-11-01	VTA	O	1	2725	1		1	UNI	       476.860000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722606	001400067725	2021-11-01	VTA	O	1	8068	1		1	UNI	       404.130000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722570	001400067710	2021-11-01	VTA	O	1	9054	1		1	UNI	       404.550000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	11034	1	CD	2721713	001100154561	2021-11-01	VTA	O	1	369	1		5	UNI	       880.170000	ARS	57	POEFIL GUILLERMO
L	2021-11-01	2021-12-18	9100063766	11034	1	CD	2721714	001100154562	2021-11-01	VTA	O	1	369	1		7	UNI	      1232.230000	ARS	57	POEFIL GUILLERMO
L	2021-11-01	2021-12-18	9100063766	11173	1	CD	2722575	000101386170	2021-11-01	VTA	O	1	12043	1		1	UNI	      1998.770000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	12165	1	CD	2722206	001100154599	2021-11-01	VTA	O	1	18234	1		3	UNI	      1176.450000	ARS	82	ARAYA DIEGO MARTIN
L	2021-11-01	2021-12-18	9100063766	1245	1	CD	2722194	001100154590	2021-11-01	VTA	O	1	11097	1		6	UNI	      1958.690000	ARS	47	SANCHEZ MIRIAM
L	2021-11-01	2021-12-18	9100063766	5887	1	CD	2722211	001100154604	2021-11-01	VTA	O	1	13387	1		2	UNI	       533.060000	ARS	82	ARAYA DIEGO MARTIN
L	2021-11-01	2021-12-18	9100063766	8725	1	CD	2722213	001100154606	2021-11-01	VTA	O	1	9054	1		1	UNI	       404.550000	ARS	82	ARAYA DIEGO MARTIN
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722741	000101386211	2021-11-02	VTA	O	1	11097	1		6	UNI	      1958.690000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2723017	000101386272	2021-11-02	VTA	O	1	13374	1		1	UNI	       259.510000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722769	000101386219	2021-11-02	VTA	O	1	13387	1		1	UNI	       266.530000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722781	000101386226	2021-11-02	VTA	O	1	13387	1		1	UNI	       266.530000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2723020	000101386274	2021-11-02	VTA	O	1	13387	1		1	UNI	       266.530000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722743	001400067740	2021-11-02	VTA	O	1	13387	1		1	UNI	       266.530000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2723036	001400067788	2021-11-02	VTA	O	1	13387	1		1	UNI	       266.530000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2723012	000101386267	2021-11-02	VTA	O	1	13387	1		4	UNI	      1066.120000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722783	001400067749	2021-11-02	VTA	O	1	18234	1		1	UNI	       392.150000	ARS	101	SALON
L	2021-11-01	2021-12-18	9100063766	10775	1	CD	2722956	001400067766	2021-11-02	VTA	O	1	18234	1		1	UNI	       392.150000	ARS	101	SALON
